127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-28 14:27:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.134000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.131000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.158000
127.0.0.1, 2016-07-28 14:27:52, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.239000
127.0.0.1, 2016-07-28 14:27:52, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.219000
